live_views,timestamp
37291,2018-02-13 22:02:28
44951,2018-02-13 22:03:28
49628,2018-02-13 22:04:28
55461,2018-02-13 22:05:29
60688,2018-02-13 22:06:29
65001,2018-02-13 22:07:29
69821,2018-02-13 22:08:30
68449,2018-02-13 22:09:30
68045,2018-02-13 22:10:31
68459,2018-02-13 22:11:31
69443,2018-02-13 22:12:31
69558,2018-02-13 22:13:32
71698,2018-02-13 22:14:32
71888,2018-02-13 22:15:33
57984,2018-02-13 22:16:33
52889,2018-02-13 22:17:34
47658,2018-02-13 22:18:34
39957,2018-02-13 22:19:34
None,2018-02-13 22:20:35
